id,home_team_player11,home_team_player10,home_team_player9,home_team_player8,home_team_player7,home_team_player6,home_team_player5,home_team_player4,home_team_player3,home_team_player2,home_team_player1,home_team_score,away_team_score,away_team_player1,away_team_player2,away_team_player3,away_team_player4,away_team_player5,away_team_player6,away_team_player7,away_team_player8,away_team_player9,away_team_player10,away_team_player11
9458,34 飯尾一慶 FW,6 布部陽功 FW,14 古賀誠史 MF,22 中村北斗 MF,13 佐伯直哉 MF,10 久藤清一 MF,3 アレックス DF,23 柳楽智和 DF,5 千代反田充 DF,15 吉村光示 DF,1 水谷雄一 GK,0,2,1 下田崇 GK,8 森﨑和幸 DF,14 戸田和幸 DF,19 盛田剛平 DF,5 駒野友一 MF,23 青山敏弘 MF,17 服部公太 MF,16 李漢宰 MF,7 森﨑浩司 MF,10 ウェズレイ FW,11 佐藤寿人 FW
9459,13 高松大樹 FW,8 松橋章太 FW,33 藤田義明 MF,30 山崎雅人 MF,17 根本裕一 MF,7 西山哲平 MF,6 梅田高志 MF,22 上本大海 DF,4 深谷友基 DF,2 三木隆司 DF,1 西川周作 GK,0,1,1 楢﨑正剛 GK,4 大森征之 DF,3 スピラール DF,16 増川隆洋 DF,24 本田圭佑 DF,13 山口慶 MF,8 金正友 MF,7 中村直志 MF,11 玉田圭司 FW,9 ヨンセン FW,19 杉本恵太 FW
9460,29 アリソン FW,8 小林大悟 FW,11 藤本主税 MF,16 久永辰徳 MF,32 小林慶行 MF,19 片岡洋介 MF,5 冨田大介 DF,17 土屋征夫 DF,4 トニーニョ DF,22 波戸康広 DF,20 荒谷弘樹 GK,0,3,21 曽ヶ端準 GK,7 新井場徹 DF,24 青木剛 DF,4 大岩剛 DF,18 ファビオサントス DF,22 中後雅喜 MF,26 増田誓志 MF,25 野沢拓也 MF,10 本山雅志 MF,9 アレックスミネイロ FW,19 田代有三 FW
9461,24 黒津勝 FW,9 我那覇和樹 FW,18 今野章 MF,31 西山貴永 MF,29 谷口博之 MF,14 中村憲剛 MF,19 森勇介 MF,2 伊藤宏樹 DF,13 寺田周平 DF,3 佐原秀樹 DF,1 吉原慎也 GK,2,1,1 水谷雄一 GK,15 吉村光示 DF,2 宮本亨 DF,5 千代反田充 DF,3 アレックス DF,10 久藤清一 MF,13 佐伯直哉 MF,8 ホベルト MF,14 古賀誠史 MF,22 中村北斗 MF,6 布部陽功 FW
9462,11 坂田大輔 FW,15 大島秀夫 FW,17 吉田孝行 MF,35 河合竜二 MF,10 山瀬功治 MF,7 田中隼磨 MF,5 ドゥトラ DF,3 松田直樹 DF,22 中澤佑二 DF,30 栗原勇蔵 DF,21 榎本哲也 GK,2,3,21 西部洋平 GK,25 市川大祐 DF,26 青山直晃 DF,24 平岡康裕 DF,3 山西尊裕 DF,14 高木純平 MF,16 枝村匠馬 MF,7 伊東輝悦 MF,10 藤本淳吾 MF,9 矢島卓郎 FW,18 チョジェジン FW
9463,16 バレー FW,33 茂原岳人 FW,23 山崎光太郎 FW,7 石原克哉 MF,10 藤田健 MF,17 鶴見智美 MF,5 井上雄幾 DF,3 津田琢磨 DF,2 秋本倫孝 DF,4 山本英臣 DF,1 阿部謙作 GK,2,0,1 西川周作 GK,2 三木隆司 DF,4 深谷友基 DF,22 上本大海 DF,5 エジミウソン MF,6 梅田高志 MF,11 トゥーリオ MF,17 根本裕一 MF,30 山崎雅人 MF,8 松橋章太 FW,13 高松大樹 FW
9464,18 前田遼一 FW,17 太田吉彰 FW,28 船谷圭祐 MF,25 ファブリシオ MF,8 菊地直哉 MF,23 福西崇史 MF,27 上田康太 DF,20 金珍圭 DF,2 鈴木秀人 DF,33 犬塚友輔 DF,1 川口能活 GK,4,1,1 土肥洋一 GK,25 徳永悠平 DF,19 伊野波雅彦 DF,5 増嶋竜也 DF,8 藤山竜仁 DF,6 今野泰幸 MF,23 梶山陽平 MF,20 川口信男 MF,13 戸田光洋 MF,14 馬場憂太 MF,9 ルーカス FW
9465,11 玉田圭司 FW,19 杉本恵太 FW,9 ヨンセン FW,7 中村直志 MF,10 藤田俊哉 MF,13 山口慶 MF,24 本田圭佑 MF,16 増川隆洋 DF,3 スピラール DF,4 大森征之 DF,1 楢﨑正剛 GK,1,0,1 山岸範宏 GK,19 内舘秀樹 DF,4 田中マルクス闘莉王 DF,5 ネネ DF,14 平川忠亮 MF,13 鈴木啓太 MF,17 長谷部誠 MF,8 三都主アレサンドロ MF,6 山田暢久 MF,10 ポンテ FW,21 ワシントン FW
9466,11 佐藤寿人 FW,10 ウェズレイ FW,7 森﨑浩司 MF,27 柏木陽介 MF,17 服部公太 MF,23 青山敏弘 MF,5 駒野友一 MF,19 盛田剛平 DF,14 戸田和幸 DF,8 森﨑和幸 DF,1 下田崇 GK,1,0,26 西村弘司 GK,19 登尾顕徳 DF,33 角田誠 DF,7 児玉新 DF,14 中払大介 MF,17 石井俊也 MF,15 中山博貴 MF,16 斉藤大介 MF,22 渡邉大剛 MF,10 パウリーニョ FW,20 林丈統 FW
9467,11 矢野貴章 FW,10 エジミウソン FW,9 ファビーニョ MF,8 シルビーニョ MF,16 寺川能人 MF,18 鈴木慎吾 MF,17 内田潤 DF,26 中野洋司 DF,3 千葉和彦 DF,35 松下年宏 DF,1 北野貴之 GK,2,2,22 吉田宗弘 GK,5 前田和哉 DF,14 江添建次郎 DF,19 山崎哲也 DF,23 下村東美 MF,4 河村崇大 MF,9 古橋達弥 MF,6 ゼカルロス MF,36 大久保嘉人 MF,18 柿本倫明 FW,20 西澤明訓 FW
9468,9 マグノアウベス FW,16 前田雅文 FW,10 二川孝広 MF,14 家長昭博 MF,17 明神智和 MF,20 寺田紳一 MF,6 山口智 DF,5 宮本恒靖 DF,2 シジクレイ DF,21 加地亮 DF,1 松代直樹 GK,1,0,30 岡本昌弘 GK,3 斎藤大輔 DF,5 ストヤノフ DF,4 水本裕貴 DF,8 水野晃樹 MF,6 阿部勇樹 MF,15 中島浩司 MF,2 坂本將貴 MF,16 山岸智 MF,22 羽生直剛 MF,18 巻誠一郎 FW
9469,19 田代有三 FW,9 アレックスミネイロ FW,10 本山雅志 MF,18 ファビオサントス MF,25 野沢拓也 MF,22 中後雅喜 MF,7 新井場徹 DF,4 大岩剛 DF,24 青木剛 DF,20 内田篤人 DF,21 曽ヶ端準 GK,5,1,1 北野貴之 GK,35 松下年宏 DF,19 海本慶治 DF,26 中野洋司 DF,17 内田潤 DF,18 鈴木慎吾 MF,16 寺川能人 MF,8 シルビーニョ MF,9 ファビーニョ MF,10 エジミウソン FW,11 矢野貴章 FW
9470,21 ワシントン FW,10 ポンテ FW,6 山田暢久 MF,8 三都主アレサンドロ MF,17 長谷部誠 MF,13 鈴木啓太 MF,14 平川忠亮 MF,5 ネネ DF,4 田中マルクス闘莉王 DF,19 内舘秀樹 DF,1 山岸範宏 GK,3,0,1 阿部謙作 GK,4 山本英臣 DF,15 アライール DF,2 秋本倫孝 DF,5 井上雄幾 DF,17 鶴見智美 MF,10 藤田健 MF,7 石原克哉 MF,23 山崎光太郎 FW,33 茂原岳人 FW,16 バレー FW
9471,11 要田勇一 FW,16 山岸智 MF,22 羽生直剛 MF,2 坂本將貴 MF,7 佐藤勇人 MF,6 阿部勇樹 MF,8 水野晃樹 MF,4 水本裕貴 DF,5 ストヤノフ DF,3 斎藤大輔 DF,30 岡本昌弘 GK,0,1,1 下田崇 GK,8 森﨑和幸 DF,14 戸田和幸 DF,19 盛田剛平 DF,5 駒野友一 MF,23 青山敏弘 MF,17 服部公太 MF,27 柏木陽介 MF,7 森﨑浩司 MF,24 前田俊介 FW,11 佐藤寿人 FW
9472,9 ルーカス FW,13 戸田光洋 FW,16 宮沢正史 MF,14 馬場憂太 MF,18 石川直宏 MF,6 今野泰幸 MF,10 三浦文丈 MF,8 藤山竜仁 DF,3 ジャーン DF,25 徳永悠平 DF,1 土肥洋一 GK,1,2,21 榎本哲也 GK,30 栗原勇蔵 DF,4 那須大亮 DF,3 松田直樹 DF,5 ドゥトラ DF,7 田中隼磨 MF,10 山瀬功治 MF,35 河合竜二 MF,29 狩野健太 MF,15 大島秀夫 FW,11 坂田大輔 FW
9473,18 チョジェジン FW,17 マルキーニョス FW,10 藤本淳吾 MF,7 伊東輝悦 MF,16 枝村匠馬 MF,14 高木純平 MF,3 山西尊裕 DF,4 高木和道 DF,26 青山直晃 DF,25 市川大祐 DF,21 西部洋平 GK,4,3,1 吉原慎也 GK,3 佐原秀樹 DF,13 寺田周平 DF,2 伊藤宏樹 DF,19 森勇介 MF,14 中村憲剛 MF,29 谷口博之 MF,31 西山貴永 MF,11 マギヌン MF,9 我那覇和樹 FW,10 ジュニーニョ FW
9474,31 田原豊 FW,20 林丈統 FW,14 中払大介 MF,16 斉藤大介 MF,17 石井俊也 MF,15 中山博貴 MF,7 児玉新 DF,32 手島和希 DF,33 角田誠 DF,22 渡邉大剛 DF,26 西村弘司 GK,1,3,1 川口能活 GK,33 犬塚友輔 DF,2 鈴木秀人 DF,20 金珍圭 DF,6 服部年宏 DF,17 太田吉彰 MF,8 菊地直哉 MF,25 ファブリシオ MF,27 上田康太 MF,18 前田遼一 FW,11 西紀寛 FW
9475,36 大久保嘉人 FW,20 西澤明訓 FW,9 古橋達弥 MF,6 ゼカルロス MF,7 山田卓也 MF,23 下村東美 MF,35 宮本卓也 MF,19 山崎哲也 DF,14 江添建次郎 DF,5 前田和哉 DF,22 吉田宗弘 GK,1,1,1 楢﨑正剛 GK,4 大森征之 DF,3 スピラール DF,16 増川隆洋 DF,28 渡邊圭二 MF,14 吉村圭司 MF,25 須藤右介 MF,13 山口慶 MF,19 杉本恵太 FW,9 ヨンセン FW,11 玉田圭司 FW
9476,9 薮田光教 FW,6 布部陽功 FW,14 古賀誠史 MF,13 佐伯直哉 MF,8 ホベルト MF,10 久藤清一 MF,3 アレックス DF,5 千代反田充 DF,2 宮本亨 DF,15 吉村光示 DF,1 水谷雄一 GK,1,1,1 松代直樹 GK,21 加地亮 DF,2 シジクレイ DF,5 宮本恒靖 DF,6 山口智 DF,17 明神智和 MF,27 橋本英郎 MF,14 家長昭博 MF,10 二川孝広 MF,16 前田雅文 MF,9 マグノアウベス FW
9477,13 高松大樹 FW,8 松橋章太 FW,30 山崎雅人 MF,17 根本裕一 MF,11 トゥーリオ MF,6 梅田高志 MF,5 エジミウソン MF,22 上本大海 DF,4 深谷友基 DF,2 三木隆司 DF,16 下川誠吾 GK,1,2,20 荒谷弘樹 GK,22 波戸康広 DF,4 トニーニョ DF,17 土屋征夫 DF,5 冨田大介 DF,19 片岡洋介 MF,32 小林慶行 MF,16 久永辰徳 MF,11 藤本主税 MF,8 小林大悟 FW,29 アリソン FW
9478,14 森田浩史 FW,8 小林大悟 FW,24 橋本早十 MF,16 久永辰徳 MF,32 小林慶行 MF,19 片岡洋介 MF,5 冨田大介 DF,17 土屋征夫 DF,4 トニーニョ DF,22 波戸康広 DF,20 荒谷弘樹 GK,2,0,22 吉田宗弘 GK,5 前田和哉 DF,14 江添建次郎 DF,19 山崎哲也 DF,35 宮本卓也 MF,23 下村東美 MF,13 苔口卓也 MF,6 ゼカルロス MF,9 古橋達弥 MF,20 西澤明訓 FW,36 大久保嘉人 FW
9479,9 ルーカス FW,14 馬場憂太 MF,13 戸田光洋 MF,18 石川直宏 MF,23 梶山陽平 MF,6 今野泰幸 MF,8 藤山竜仁 DF,19 伊野波雅彦 DF,3 ジャーン DF,25 徳永悠平 DF,22 塩田仁史 GK,0,0,1 山岸範宏 GK,19 内舘秀樹 DF,4 田中マルクス闘莉王 DF,5 ネネ DF,14 平川忠亮 MF,13 鈴木啓太 MF,17 長谷部誠 MF,8 三都主アレサンドロ MF,6 山田暢久 MF,10 ポンテ FW,21 ワシントン FW
9480,10 ジュニーニョ FW,9 我那覇和樹 FW,11 マギヌン MF,6 マルコン MF,29 谷口博之 MF,14 中村憲剛 MF,26 飛弾暁 MF,2 伊藤宏樹 DF,13 寺田周平 DF,5 箕輪義信 DF,1 吉原慎也 GK,3,2,21 曽ヶ端準 GK,20 内田篤人 DF,24 青木剛 DF,4 大岩剛 DF,7 新井場徹 DF,22 中後雅喜 MF,25 野沢拓也 MF,18 ファビオサントス MF,10 本山雅志 MF,9 アレックスミネイロ FW,19 田代有三 FW
9481,11 坂田大輔 FW,15 大島秀夫 FW,29 狩野健太 MF,10 山瀬功治 MF,6 上野良治 MF,7 田中隼磨 MF,2 中西永輔 DF,3 松田直樹 DF,4 那須大亮 DF,30 栗原勇蔵 DF,21 榎本哲也 GK,0,1,16 下川誠吾 GK,2 三木隆司 DF,4 深谷友基 DF,22 上本大海 DF,5 エジミウソン MF,6 梅田高志 MF,11 トゥーリオ MF,17 根本裕一 MF,30 山崎雅人 MF,8 松橋章太 FW,13 高松大樹 FW
9482,16 バレー FW,33 茂原岳人 FW,23 山崎光太郎 FW,7 石原克哉 MF,10 藤田健 MF,17 鶴見智美 MF,4 山本英臣 DF,3 津田琢磨 DF,15 アライール DF,32 杉山新 DF,1 阿部謙作 GK,2,3,30 岡本昌弘 GK,3 斎藤大輔 DF,15 中島浩司 DF,4 水本裕貴 DF,2 坂本將貴 MF,6 阿部勇樹 MF,20 工藤浩平 MF,8 水野晃樹 MF,22 羽生直剛 MF,16 山岸智 MF,11 要田勇一 FW
9483,17 太田吉彰 FW,18 前田遼一 FW,27 上田康太 MF,25 ファブリシオ MF,8 菊地直哉 MF,23 福西崇史 MF,6 服部年宏 MF,4 大井健太郎 DF,2 鈴木秀人 DF,33 犬塚友輔 DF,1 川口能活 GK,1,0,21 西部洋平 GK,25 市川大祐 DF,26 青山直晃 DF,4 高木和道 DF,3 山西尊裕 DF,14 高木純平 MF,16 枝村匠馬 MF,7 伊東輝悦 MF,10 藤本淳吾 MF,23 岡崎慎司 FW,18 チョジェジン FW
9484,11 玉田圭司 FW,19 杉本恵太 FW,7 中村直志 FW,13 山口慶 MF,10 藤田俊哉 MF,8 金正友 MF,24 本田圭佑 DF,16 増川隆洋 DF,3 スピラール DF,4 大森征之 DF,1 楢﨑正剛 GK,2,0,1 水谷雄一 GK,15 吉村光示 DF,23 柳楽智和 DF,2 宮本亨 DF,3 アレックス DF,10 久藤清一 MF,8 ホベルト MF,13 佐伯直哉 MF,14 古賀誠史 MF,6 布部陽功 FW,9 薮田光教 FW
9485,9 マグノアウベス FW,16 前田雅文 MF,10 二川孝広 MF,14 家長昭博 MF,27 橋本英郎 MF,17 明神智和 MF,21 加地亮 MF,6 山口智 DF,5 宮本恒靖 DF,4 實好礼忠 DF,1 松代直樹 GK,3,2,26 西村弘司 GK,32 手島和希 DF,33 角田誠 DF,7 児玉新 DF,23 大久保裕樹 MF,15 中山博貴 MF,17 石井俊也 MF,16 斉藤大介 MF,22 渡邉大剛 MF,31 田原豊 FW,10 パウリーニョ FW
9486,11 佐藤寿人 FW,24 前田俊介 FW,7 森﨑浩司 MF,27 柏木陽介 MF,17 服部公太 MF,23 青山敏弘 MF,5 駒野友一 MF,19 盛田剛平 DF,4 ダバツ DF,8 森﨑和幸 DF,1 下田崇 GK,2,1,1 北野貴之 GK,2 三田光 DF,19 海本慶治 DF,3 千葉和彦 DF,17 内田潤 DF,35 松下年宏 MF,16 寺川能人 MF,8 シルビーニョ MF,18 鈴木慎吾 MF,32 田中亜土夢 FW,11 矢野貴章 FW
9487,9 アレックスミネイロ FW,17 ダシルバ FW,10 本山雅志 MF,18 ファビオサントス MF,25 野沢拓也 MF,22 中後雅喜 MF,7 新井場徹 DF,24 青木剛 DF,3 岩政大樹 DF,20 内田篤人 DF,21 曽ヶ端準 GK,3,0,1 川口能活 GK,3 茶野隆行 DF,4 大井健太郎 DF,2 鈴木秀人 DF,27 上田康太 DF,33 犬塚友輔 MF,8 菊地直哉 MF,25 ファブリシオ MF,23 福西崇史 MF,17 太田吉彰 FW,18 前田遼一 FW
9488,21 ワシントン FW,10 ポンテ FW,6 山田暢久 MF,8 三都主アレサンドロ MF,17 長谷部誠 MF,13 鈴木啓太 MF,14 平川忠亮 MF,5 ネネ DF,4 田中マルクス闘莉王 DF,19 内舘秀樹 DF,1 山岸範宏 GK,3,2,1 松代直樹 GK,2 シジクレイ DF,5 宮本恒靖 DF,6 山口智 DF,21 加地亮 MF,17 明神智和 MF,27 橋本英郎 MF,14 家長昭博 MF,10 二川孝広 MF,11 播戸竜二 FW,9 マグノアウベス FW
9489,29 青木孝太 FW,18 巻誠一郎 FW,20 工藤浩平 MF,22 羽生直剛 MF,2 坂本將貴 MF,7 佐藤勇人 MF,15 中島浩司 MF,6 阿部勇樹 MF,16 山岸智 MF,3 斎藤大輔 DF,30 岡本昌弘 GK,0,2,21 榎本哲也 GK,30 栗原勇蔵 DF,22 中澤佑二 DF,4 那須大亮 DF,26 田中裕介 DF,17 吉田孝行 MF,10 山瀬功治 MF,6 上野良治 MF,29 狩野健太 MF,15 大島秀夫 FW,11 坂田大輔 FW
9490,11 矢野貴章 FW,10 エジミウソン FW,18 鈴木慎吾 MF,8 シルビーニョ MF,16 寺川能人 MF,32 田中亜土夢 MF,26 中野洋司 DF,3 千葉和彦 DF,19 海本慶治 DF,17 内田潤 DF,1 北野貴之 GK,1,2,20 荒谷弘樹 GK,22 波戸康広 DF,4 トニーニョ DF,17 土屋征夫 DF,5 冨田大介 DF,19 片岡洋介 MF,32 小林慶行 MF,16 久永辰徳 MF,24 橋本早十 MF,8 小林大悟 FW,14 森田浩史 FW
9491,18 チョジェジン FW,23 岡崎慎司 FW,10 藤本淳吾 MF,7 伊東輝悦 MF,16 枝村匠馬 MF,14 高木純平 MF,3 山西尊裕 DF,4 高木和道 DF,24 平岡康裕 DF,25 市川大祐 DF,21 西部洋平 GK,3,0,1 下田崇 GK,8 森﨑和幸 DF,14 戸田和幸 DF,19 盛田剛平 DF,5 駒野友一 MF,16 李漢宰 MF,17 服部公太 MF,27 柏木陽介 MF,7 森﨑浩司 MF,32 桒田慎一朗 FW,11 佐藤寿人 FW
9492,10 パウリーニョ FW,9 アンドレ FW,22 渡邉大剛 MF,15 中山博貴 MF,17 石井俊也 MF,16 斉藤大介 MF,11 星大輔 MF,7 児玉新 DF,33 角田誠 DF,23 大久保裕樹 DF,26 西村弘司 GK,0,1,1 楢﨑正剛 GK,4 大森征之 DF,3 スピラール DF,16 増川隆洋 DF,28 渡邊圭二 DF,13 山口慶 MF,10 藤田俊哉 MF,8 金正友 MF,7 中村直志 FW,9 ヨンセン FW,19 杉本恵太 FW
9493,36 大久保嘉人 FW,20 西澤明訓 FW,16 名波浩 MF,6 ゼカルロス MF,9 古橋達弥 MF,35 宮本卓也 MF,23 下村東美 MF,3 柳本啓成 DF,2 ブルーノクアドロス DF,5 前田和哉 DF,22 吉田宗弘 GK,1,3,1 吉原慎也 GK,5 箕輪義信 DF,3 佐原秀樹 DF,2 伊藤宏樹 DF,26 飛弾暁 MF,14 中村憲剛 MF,13 寺田周平 MF,6 マルコン MF,11 マギヌン MF,24 黒津勝 FW,10 ジュニーニョ FW
9494,34 飯尾一慶 FW,6 布部陽功 FW,9 薮田光教 MF,13 佐伯直哉 MF,8 ホベルト MF,10 久藤清一 MF,3 アレックス DF,5 千代反田充 DF,2 宮本亨 DF,15 吉村光示 DF,1 水谷雄一 GK,1,1,1 阿部謙作 GK,32 杉山新 DF,15 アライール DF,3 津田琢磨 DF,4 山本英臣 DF,31 林健太郎 MF,26 保坂一成 MF,7 石原克哉 MF,23 山崎光太郎 FW,33 茂原岳人 FW,16 バレー FW
9495,9 ラファエル FW,8 松橋章太 FW,21 梅崎司 MF,17 根本裕一 MF,11 トゥーリオ MF,6 梅田高志 MF,5 エジミウソン MF,22 上本大海 DF,4 深谷友基 DF,2 三木隆司 DF,16 下川誠吾 GK,0,1,22 塩田仁史 GK,25 徳永悠平 DF,3 ジャーン DF,19 伊野波雅彦 DF,8 藤山竜仁 DF,6 今野泰幸 MF,23 梶山陽平 MF,18 石川直宏 MF,13 戸田光洋 MF,27 栗澤僚一 MF,9 ルーカス FW
9985,13 平山相太 FW,9 ルーカス FW,18 石川直宏 FW,23 梶山陽平 MF,6 今野泰幸 MF,37 福西崇史 MF,17 金沢浄 DF,29 吉本一謙 DF,25 徳永悠平 DF,19 伊野波雅彦 DF,1 土肥洋一 GK,2,4,1 下田崇 GK,8 森﨑和幸 DF,14 戸田和幸 DF,19 盛田剛平 DF,5 駒野友一 MF,6 青山敏弘 MF,17 服部公太 MF,7 森﨑浩司 MF,27 柏木陽介 MF,11 佐藤寿人 FW,10 ウェズレイ FW
9986,33 マルクス FW,9 鈴木隆行 FW,8 マルケス FW,10 山瀬功治 MF,29 長谷川アーリアジャスール MF,35 河合竜二 MF,7 田中隼磨 DF,22 中澤佑二 DF,30 栗原勇蔵 DF,4 那須大亮 DF,1 榎本哲也 GK,1,0,1 阿部謙作 GK,32 杉山新 DF,2 秋本倫孝 DF,15 増嶋竜也 DF,4 山本英臣 DF,31 林健太郎 MF,10 藤田健 MF,7 石原克哉 MF,11 宇留野純 FW,8 茂原岳人 FW,25 鈴木健太 FW
9987,13 高松大樹 FW,9 セルジーニョ FW,10 アウグスト MF,20 高橋大輔 MF,17 根本裕一 MF,14 宮沢正史 MF,5 ジュニオールマラニョン MF,22 上本大海 DF,4 深谷友基 DF,2 三木隆司 DF,16 下川誠吾 GK,1,1,1 北野貴之 GK,17 内田潤 DF,5 千代反田充 DF,6 永田充 DF,14 坂本將貴 DF,16 寺川能人 MF,8 シルビーニョ MF,18 鈴木慎吾 MF,9 深井正樹 MF,10 エジミウソン FW,11 矢野貴章 FW
9988,10 ジュニーニョ FW,9 我那覇和樹 FW,11 マギヌン MF,26 村上和弘 MF,29 谷口博之 MF,14 中村憲剛 MF,19 森勇介 MF,2 伊藤宏樹 DF,13 寺田周平 DF,5 箕輪義信 DF,1 川島永嗣 GK,1,0,21 曽ヶ端準 GK,2 内田篤人 DF,3 岩政大樹 DF,5 ファボン DF,7 新井場徹 DF,15 青木剛 MF,16 中後雅喜 MF,10 本山雅志 MF,11 ダニーロ MF,18 マルキーニョス FW,13 柳沢敦 FW
9989,18 チョジェジン FW,9 矢島卓郎 FW,17 フェルナンジーニョ MF,10 藤本淳吾 MF,6 杉山浩太 MF,7 伊東輝悦 MF,2 児玉新 DF,4 高木和道 DF,26 青山直晃 DF,25 市川大祐 DF,21 西部洋平 GK,1,0,1 榎本達也 GK,11 茂木弘人 DF,4 北本久仁衛 DF,5 河本裕之 DF,3 坪内秀介 DF,8 栗原圭介 MF,18 田中英雄 MF,10 ボッティ MF,7 朴康造 FW,19 近藤祐介 FW,17 三浦淳宏 FW
9990,21 ワシントン FW,6 山田暢久 FW,10 ポンテ MF,16 相馬崇人 MF,8 小野伸二 MF,13 鈴木啓太 MF,9 永井雄一郎 MF,5 ネネ DF,22 阿部勇樹 DF,2 坪井慶介 DF,1 山岸範宏 GK,2,1,21 菅野孝憲 GK,18 小野智吉 DF,2 早川知伸 DF,30 小村徳男 DF,4 和田拓三 DF,6 山口素弘 MF,16 藪田光教 MF,14 奥大介 MF,13 鄭容臺 MF,12 滝澤邦彦 MF,9 久保竜彦 FW
9991,9 マグノアウベス FW,11 播戸竜二 FW,10 二川孝広 MF,7 遠藤保仁 MF,27 橋本英郎 MF,17 明神智和 MF,13 安田理大 DF,6 山口智 DF,5 シジクレイ DF,21 加地亮 DF,1 松代直樹 GK,1,0,1 荒谷弘樹 GK,18 西村卓朗 DF,6 片岡洋介 DF,3 レアンドロ DF,4 波戸康広 DF,7 佐伯直哉 MF,32 小林慶行 MF,11 藤本主税 MF,17 橋本早十 MF,8 小林大悟 FW,10 エニウトン FW
9992,10 フランサ FW,22 鈴木達也 FW,15 菅沼実 MF,4 アルセウ MF,18 山根巌 MF,8 マルシオアラウージョ MF,7 大谷秀和 DF,3 近藤直也 DF,5 古賀正紘 DF,23 蔵川洋平 DF,21 南雄太 GK,4,0,21 佐藤洋平 GK,17 犬塚友輔 DF,2 鈴木秀人 DF,5 田中誠 DF,27 上田康太 DF,8 菊地直哉 MF,25 ファブリシオ MF,10 成岡翔 MF,6 マルキーニョスパラナ MF,7 太田吉彰 FW,11 西紀寛 FW
9993,19 杉本恵太 FW,9 ヨンセン FW,7 中村直志 FW,13 山口慶 MF,10 藤田俊哉 MF,8 金正友 MF,24 本田圭佑 DF,16 増川隆洋 DF,3 スピラール DF,4 大森征之 DF,1 楢﨑正剛 GK,2,0,30 岡本昌弘 GK,4 水本裕貴 DF,5 ストヤノフ DF,40 ジョルジェビッチ DF,8 水野晃樹 MF,7 佐藤勇人 MF,15 中島浩司 MF,16 山岸智 MF,22 羽生直剛 MF,9 黒部光昭 FW,18 巻誠一郎 FW
9994,8 茂原岳人 FW,16 アルベルト FW,25 鈴木健太 FW,7 石原克哉 MF,10 藤田健 MF,31 林健太郎 MF,4 山本英臣 DF,3 津田琢磨 DF,2 秋本倫孝 DF,32 杉山新 DF,1 阿部謙作 GK,0,2,1 楢﨑正剛 GK,4 大森征之 DF,5 米山篤志 DF,16 増川隆洋 DF,24 本田圭佑 DF,13 山口慶 MF,10 藤田俊哉 MF,8 金正友 MF,7 中村直志 FW,9 ヨンセン FW,19 杉本恵太 FW
9995,11 佐藤寿人 FW,10 ウェズレイ FW,27 柏木陽介 MF,7 森﨑浩司 MF,17 服部公太 MF,6 青山敏弘 MF,5 駒野友一 MF,19 盛田剛平 DF,14 戸田和幸 DF,8 森﨑和幸 DF,1 下田崇 GK,1,1,21 南雄太 GK,23 蔵川洋平 DF,5 古賀正紘 DF,3 近藤直也 DF,7 大谷秀和 DF,8 マルシオアラウージョ MF,18 山根巌 MF,4 アルセウ MF,15 菅沼実 MF,22 鈴木達也 FW,10 フランサ FW
9996,11 西紀寛 FW,22 カレンロバート FW,10 成岡翔 MF,25 ファブリシオ MF,8 菊地直哉 MF,7 太田吉彰 MF,27 上田康太 DF,5 田中誠 DF,2 鈴木秀人 DF,6 マルキーニョスパラナ DF,21 佐藤洋平 GK,2,1,1 西川周作 GK,2 三木隆司 DF,4 深谷友基 DF,22 上本大海 DF,5 ジュニオールマラニョン MF,10 アウグスト MF,14 宮沢正史 MF,17 根本裕一 MF,20 高橋大輔 MF,8 松橋章太 FW,13 高松大樹 FW
9997,10 エニウトン FW,8 小林大悟 FW,17 橋本早十 MF,11 藤本主税 MF,32 小林慶行 MF,7 佐伯直哉 MF,4 波戸康広 DF,6 片岡洋介 DF,3 レアンドロ DF,18 西村卓朗 DF,1 荒谷弘樹 GK,0,2,1 土肥洋一 GK,19 伊野波雅彦 DF,8 藤山竜仁 DF,25 徳永悠平 DF,17 金沢浄 DF,6 今野泰幸 MF,37 福西崇史 MF,27 栗澤僚一 MF,18 石川直宏 FW,15 鈴木規郎 FW,13 平山相太 FW
9998,11 新居辰基 FW,18 巻誠一郎 FW,22 羽生直剛 MF,16 山岸智 MF,7 佐藤勇人 MF,8 水野晃樹 MF,40 ジョルジェビッチ DF,3 斎藤大輔 DF,5 ストヤノフ DF,4 水本裕貴 DF,30 岡本昌弘 GK,1,3,21 西部洋平 GK,25 市川大祐 DF,26 青山直晃 DF,4 高木和道 DF,2 児玉新 DF,10 藤本淳吾 MF,7 伊東輝悦 MF,13 兵働昭弘 MF,17 フェルナンジーニョ MF,16 枝村匠馬 FW,18 チョジェジン FW
